ranking,ISBN,title,author,publisher,genre,year
79,9784327394202 ,スペイン語文法ハンドブック,上田博人,研究社,各国語,2023
80,9784130323987 ,国際法,岩沢雄司,東京大学出版会,法律,2023
81,9784477033440 ,新微分積分Ｉ問題集,高遠節夫,大日本図書,数学,2023
82,9784334044695 ,炎上ＣＭでよみとくジェンダー論,瀬地山角,光文社,社会,2023
83,9784088836447 ,ＯＮＥ　ＰＩＥＣＥ　巻１０６,尾田栄一郎,集英社,コミック,2023
84,9784807908714 ,ウォーレン有機化学　上,ジョナサン・クレイデン,東京化学同人,化学,2023
85,9784269111059 ,芸術に現われた動物と人間,ケネス・マケンジ・クラーク,英宝社,英米語,2023
86,9784255156934 ,大学生のためのＣＮＮニュース・リスニング：ＳＤＧｓ編,『ＣＮＮ　Ｅｎｇｌｉｓｈ　Ｅｘｐｒｅｓｓ,朝日出版社,英米語,2023
87,9784863984547 ,聞いて話す初級中国語インテンシブ,小嶋美由紀,白帝社,各国語,2023
88,9784759820270 ,演習で学ぶ有機化学基礎の基礎,クック・ミヒャエル,化学同人,化学,2023
89,9784781908892 ,工科系の数学　６,クルト・マイベルク,サイエンス社,数学,2023
90,9784535559271 ,経済学史,野原慎司,日本評論社,経済財政,2023
91,9784560088494 ,ポーランド語,石井哲士朗,白水社,各国語,2023
92,9784781913292 ,微分積分概論,高橋泰嗣,サイエンス社,数学,2023
93,9784864810258 ,電気電子計測,廣瀬明,数理工学社,電気,2023
94,9784781908533 ,工科系の数学　５,クルト・マイベルク,サイエンス社,数学,2023
95,9784902902778 ,Design　Makes　the　World　Go　Round.　P　84　p.,ジェイミー・ウエスト,センゲージラーニング,英米語,2023
96,9784130322355 ,政治学,川出良枝,東京大学出版会,政治,2023
97,9784004319443 ,スピノザ,國分功一郎,岩波書店,哲学,2023
98,9784781914039 ,溶液における分子認識と自己集合の原理,平岡秀一,サイエンス社,化学,2023
99,9784130620055 ,解析入門　１,杉浦光夫,東京大学出版会,数学,2023
100,9784320036413 ,力学,兵頭俊夫,共立出版,物理学,2023
1,9784130527071 ,身体運動・健康科学ベーシック,東京大学身体運動科学研究室,東京大学出版会,体育スポ,2022
2,9784130821339 ,東京大学教養英語読本　２,東京大学,東京大学出版会,英米語,2022
3,9784130624572 ,情報,山口和紀,東京大学出版会,情報科学,2022
4,9784807907953 ,基礎化学実験,東京大学,東京化学同人,化学,2022
5,9784780610352 ,基礎物理学実験　２０２２秋ー２０２３春,東京大学教養学部基礎物理学実験テキスト編,学術図書出版社,物理学,2022
6,9784883841400 ,入門統計解析,倉田博史,新世社（渋谷区）,経済財政,2022
7,9784758120753 ,演習で学ぶ生命科学,東京大学生命科学教科書編集委員会,羊土社,生物学,2022
8,9784255551111 ,スペイン語学習の羅針盤,東京大学教養学部スペイン語部会,朝日出版社,各国語,2022
9,9784065225479 ,現代物性化学の基礎,小川桂一郎,講談社,化学,2022
10,9784863984226 ,漢語課本,小野秀樹（中国語）,白帝社,各国語,2022
11,9784781915555 ,３ＤーＣＡＤで学ぶ図形科学入門,横山ゆりか,サイエンス社,電子通信,2022
12,9784759810844 ,量子化学,真船文隆,化学同人,化学,2022
13,9784130624589 ,Ｐｙｔｈｏｎによるプログラミング入門　東京大学教養学部テキスト,森畑明昌,東京大学出版会,情報科学,2022
14,9784758121026 ,理系総合のための生命科学,東京大学生命科学教科書編集委員会,羊土社,生物学,2022
15,9784130622271 ,基礎生命科学実験,東京大学教養学部基礎生命科学実験編集委員,東京大学出版会,生物学,2022
16,9784785322496 ,マクスウェル方程式から始める電磁気学,小宮山進,裳華房,物理学,2022
17,9784780609431 ,基礎物理学実験　２０２１秋ー２０２２春,東京大学教養学部基礎物理学実験テキスト編,学術図書出版社,物理学,2022
18,9784130625012 ,化学の基礎７７講,東京大学,東京大学出版会,化学,2022
19,9784130622301 ,進化と人間行動,長谷川寿一,東京大学出版会,生物学,2022
20,9784000614061 ,東大連続講義歴史学の思考法,東京大学教養学部歴史学部会,岩波書店,歴史総記,2022
21,9784535786547 ,線形代数学,川久保勝夫,日本評論社,数学,2022
22,9784000613224 ,憲法,芦部信喜,岩波書店,法律,2022
23,9784560017630 ,イタリア語のスタート文法と練習,東京大学イタリア語教材編集委員会,白水社,各国語,2022
24,9784334044695 ,炎上ＣＭでよみとくジェンダー論,瀬地山角,光文社,社会,2022
25,9784130830300 ,まなざしのレッスン　１,三浦篤,東京大学出版会,芸術総記,2022
26,9784641150782 ,政治学の第一歩,砂原庸介,有斐閣,政治,2022
